SNR name,RA_deg,Dec_deg,l_deg,b_deg,Diameter_arcmin,FluxDensity_Jy,Table,Catalog
G63.7+1.1,296.9666666666667,27.75,63.7,1.1,8.0,1.8,1,Green
G64.5+0.9,297.60416666666663,28.266666666666666,64.5,0.9,8.0,0.15,1,Green
G65.1+0.6,298.6666666666667,28.58333333333333,65.1,0.6,90.0,5.5,1,Green
G65.3+5.7,293.25,31.166666666666668,65.3,5.7,310.0,42.0,1,Green
G65.7+1.2,298.04166666666663,29.433333333333334,65.7,1.2,22.0,5.1,1,Green
G67.7+1.8,298.6333333333333,31.48333333333333,67.7,1.8,15.0,1.0,1,Green
G68.6-1.2,302.1666666666667,30.616666666666667,68.6,-1.2,23.0,1.1,1,Green
G69.0+2.7,298.3333333333333,32.916666666666664,69.0,2.7,80.0,120.0,1,Green
G69.7+1.0,300.66666666666674,32.71666666666667,69.7,1.0,16.0,2.0,1,Green
G73.9+0.9,303.5625,36.2,73.9,0.9,27.0,9.0,1,Green
G74.0-8.5,312.75,30.666666666666668,74.0,-8.5,230.0,210.0,1,Green
G74.9+1.2,304.00833333333327,37.2,74.9,1.2,8.0,9.0,1,Green
G76.9+1.0,305.58333333333337,38.71666666666667,76.9,1.0,9.0,2.0,1,Green
G78.2+2.1,305.2083333333333,40.43333333333333,78.2,2.1,60.0,320.0,1,Green
G82.2+5.3,304.75,45.5,82.2,5.3,95.0,120.0,1,Green
G83.0-0.3,311.7291666666667,42.86666666666667,83.0,-0.3,9.0,1.0,1,Green
G84.2-0.8,313.3333333333333,43.45,84.2,-0.8,20.0,11.0,1,Green
G89.0+4.7,311.25,50.583333333333336,89.0,4.7,120.0,220.0,1,Green
G93.3+6.9,313.10416666666663,55.35,93.3,6.9,27.0,9.0,1,Green
G93.7-0.2,322.33333333333337,50.833333333333336,93.7,-0.2,80.0,65.0,1,Green
G94.0+1.0,321.2083333333333,51.88333333333333,94.0,1.0,30.0,13.0,1,Green
G96.0+2.0,322.625,53.98333333333333,96.0,2.0,26.0,0.35,1,Green
G106.3+2.7,336.875,60.833333333333336,106.3,2.7,60.0,6.0,1,Green
G107.0+9.0,330.25,66.5,107.0,9.0,180.0,11.0,1,Green
G108.2-0.6,343.4166666666667,58.833333333333336,108.2,-0.6,70.0,8.0,1,Green
G109.1-1.0,345.3958333333333,58.88333333333333,109.1,-1.0,28.0,20.0,1,Green
G111.7-2.1,350.8583333333333,58.8,111.7,-2.1,5.0,2300.0,1,Green
G113.0+0.2,351.70833333333337,61.43333333333333,113.0,0.2,40.0,4.0,1,Green
G114.3+0.3,354.25,61.91666666666666,114.3,0.3,90.0,5.5,1,Green
G116.5+1.1,358.4166666666667,63.25,116.5,1.1,80.0,10.0,1,Green
G116.9+0.2,359.7916666666667,62.43333333333333,116.9,0.2,34.0,8.0,1,Green
G119.5+10.2,1.6666666666666667,72.75,119.5,10.2,90.0,36.0,1,Green
G120.1+1.4,6.325,64.15,120.1,1.4,8.0,50.0,1,Green
G126.2+1.6,20.5,64.25,126.2,1.6,70.0,6.0,1,Green
G127.1+0.5,22.083333333333336,63.16666666666666,127.1,0.5,45.0,12.0,1,Green
G130.7+3.1,31.42083333333333,64.81666666666666,130.7,3.1,9.0,33.0,1,Green
G132.7+1.3,34.416666666666664,62.75,132.7,1.3,80.0,45.0,1,Green
G152.4-2.1,61.958333333333336,49.18333333333333,152.4,-2.1,100.0,3.5,1,Green
G156.2+5.7,74.66666666666667,51.833333333333336,156.2,5.7,110.0,5.0,1,Green
G160.9+2.6,75.25,46.66666666666666,160.9,2.6,140.0,110.0,1,Green
G166.0+4.3,81.62500000000001,42.93333333333333,166.0,4.3,55.0,7.0,1,Green
G178.2-4.2,81.27083333333334,28.183333333333334,178.2,-4.2,72.0,2.0,1,Green
G179.0+2.6,88.41666666666666,31.08333333333333,179.0,2.6,70.0,7.0,1,Green
G180.0-1.7,84.75,27.83333333333333,180.0,-1.7,180.0,65.0,1,Green
G181.1+9.5,96.66666666666669,32.5,181.1,9.5,74.0,0.4,1,Green
G182.4+4.3,92.04166666666669,29.0,182.4,4.3,50.0,0.5,1,Green
G184.6-5.8,83.62916666666666,22.016666666666666,184.6,-5.8,7.0,900.0,1,Green
G189.1+3.0,94.25,22.566666666666663,189.1,3.0,45.0,165.0,1,Green
G190.9-2.2,90.47916666666666,18.4,190.9,-2.2,70.0,1.3,1,Green
G205.5+0.5,99.75,6.5,205.5,0.5,220.0,140.0,1,Green
G206.9+2.3,102.16666666666666,6.433333333333334,206.9,2.3,60.0,6.0,1,Green
G213.0-0.6,102.70833333333331,-0.5,213.0,-0.6,160.0,21.0,1,Green
G249.5+24.5,143.5,-17.0,249.5,24.5,260.0,27.0,1,Green
G260.4-3.4,125.54166666666669,-43.0,260.4,-3.4,60.0,130.0,1,Green
G261.9+5.5,136.08333333333334,-38.7,261.9,5.5,40.0,10.0,1,Green
G263.9-3.3,128.5,-45.83333333,263.9,-3.3,255.0,1750.0,1,Green
G266.2-1.2,133.0,-46.33333333,266.2,-1.2,120.0,50.0,1,Green
